TIME,,CH1,,CH2,,CH3,,CH4,
8.51E-09,8510,4.8303125,4830312.5,0.0446875,44687.5,4.6225,4622500,0.2484375,248437.500000000000
8.59E-09,8590,4.823125,4823125,0.0125,12500,4.6396875,4639687.5,0.261875,261875.000000000000
8.67E-09,8670,4.8278125,4827812.5,-0.0134375,-13437.5,4.6590625,4659062.5,0.256875,256875.000000000000
8.75E-09,8750,4.8228125,4822812.5,-0.021875,-21875,4.6728125,4672812.5,0.2540625,254062.500000000000
8.83E-09,8830,4.8309375,4830937.5,-0.0153125,-15312.5,4.6865625,4686562.5,0.2321875,232187.500000000000
8.91E-09,8910,4.82875,4828750,0.01,10000,4.69125,4691250,0.2196875,219687.500000000000
8.99E-09,8990,4.84375,4843750,0.0425,42500,4.6953125,4695312.5,0.1959375,195937.500000000000
9.07E-09,9070,4.8553125,4855312.5,0.0790625,79062.5,4.691875,4691875,0.1875,187500.000000000000
9.15E-09,9150,4.8846875,4884687.5,0.108125,108125,4.68875,4688750,0.1775,177500.000000000000
9.23E-09,9230,4.903125,4903125,0.130625,130625,4.6790625,4679062.5,0.1928125,192812.500000000000
9.31E-09,9310,4.93375,4933750,0.1384375,138437.5,4.6725,4672500,0.2071875,207187.500000000000
9.39E-09,9390,4.950625,4950625,0.1371875,137187.5,4.66375,4663750,0.2390625,239062.500000000000
9.47E-09,9470,4.9734375,4973437.5,0.1246875,124687.5,4.6609375,4660937.5,0.2609375,260937.500000000000
9.55E-09,9550,4.975,4975000,0.1103125,110312.5,4.655625,4655625,0.293125,293125.000000000000
9.63E-09,9630,4.9825,4982500,0.0903125,90312.5,4.65625,4656250,0.305,305000.000000000000
9.71E-09,9710,4.975625,4975625,0.0725,72500,4.6540625,4654062.5,0.3165625,316562.500000000000
9.79E-09,9790,4.9796875,4979687.5,0.0528125,52812.5,4.655,4655000,0.3059375,305937.500000000000
9.87E-09,9870,4.9703125,4970312.5,0.03875,38750,4.650625,4650625,0.3015625,301562.500000000000
9.95E-09,9950,4.975,4975000,0.025,25000,4.649375,4649375,0.2821875,282187.500000000000
1.003E-08,10030,4.97125,4971250,0.0190625,19062.5,4.64625,4646250,0.273125,273125.000000000000
1.011E-08,10110,4.979375,4979375,0.016875,16875,4.650625,4650625,0.25625,256250.000000000000
1.019E-08,10190,4.9709375,4970937.5,0.0259375,25937.5,4.6553125,4655312.5,0.2584375,258437.500000000000
1.027E-08,10270,4.9690625,4969062.5,0.039375,39375,4.6703125,4670312.5,0.25375,253750.000000000000
1.035E-08,10350,4.9496875,4949687.5,0.06,60000,4.686875,4686875,0.261875,261875.000000000000
1.043E-08,10430,4.933125,4933125,0.0790625,79062.5,4.709375,4709375,0.2584375,258437.500000000000
1.051E-08,10510,4.8934375,4893437.5,0.0984375,98437.5,4.7240625,4724062.5,0.2675,267500.000000000000
1.059E-08,10590,4.8575,4857500,0.1078125,107812.5,4.7353125,4735312.5,0.261875,261875.000000000000
1.067E-08,10670,4.8065625,4806562.5,0.1103125,110312.5,4.7321875,4732187.5,0.2628125,262812.500000000000
1.075E-08,10750,4.765625,4765625,0.1009375,100937.5,4.7209375,4720937.5,0.2496875,249687.500000000000
1.083E-08,10830,4.7140625,4714062.5,0.0884375,88437.5,4.6953125,4695312.5,0.249375,249375.000000000000
1.091E-08,10910,4.6828125,4682812.5,0.0709375,70937.5,4.6684375,4668437.5,0.238125,238125.000000000000
1.099E-08,10990,4.6546875,4654687.5,0.058125,58125,4.640625,4640625,0.2384375,238437.500000000000
1.107E-08,11070,4.6553125,4655312.5,0.0484375,48437.5,4.625625,4625625,0.2290625,229062.500000000000
1.115E-08,11150,4.6584375,4658437.5,0.0496875,49687.5,4.620625,4620625,0.23625,236250.000000000000
1.123E-08,11230,4.6884375,4688437.5,0.0540625,54062.5,4.6346875,4634687.5,0.233125,233125.000000000000
1.131E-08,11310,4.7175,4717500,0.0640625,64062.5,4.6590625,4659062.5,0.24125,241250.000000000000
1.139E-08,11390,4.76,4760000,0.07,70000,4.6940625,4694062.5,0.23875,238750.000000000000
1.147E-08,11470,4.783125,4783125,0.075,75000,4.72625,4726250,0.2503125,250312.500000000000
1.155E-08,11550,4.806875,4806875,0.07,70000,4.751875,4751875,0.250625,250625.000000000000
1.163E-08,11630,4.8071875,4807187.5,0.061875,61875,4.76,4760000,0.260625,260625.000000000000
1.171E-08,11710,4.8078125,4807812.5,0.0478125,47812.5,4.755,4755000,0.25875,258750.000000000000
1.179E-08,11790,4.7875,4787500,0.0384375,38437.5,4.7334375,4733437.5,0.269375,269375.000000000000
1.187E-08,11870,4.779375,4779375,0.0321875,32187.5,4.703125,4703125,0.2665625,266562.500000000000
